priority,action_type,module_name,variable_name,recommended_action,reason,code_files,brief_files,notes
P1,implemented_not_briefed,assets,asset_status,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,components\assets\AssetForm.jsx | lib\reconciliation\moduleReconciliation.js | lib\reconciliation\reconciliationRules.js,,implemented_contract_not_documented_in_brief | status_field
P1,implemented_not_briefed,assets,assets,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,app\cost-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryMacroPositionCard.jsx | hooks\useAssets.js | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,assets_benchmark_total,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | lib\reconciliation\reconciliationRules.js | lib\selectors\assetSelectors.js | lib\storage\assetStorage.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,assets_output,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,components\model-readiness\ModelReadinessAuditPanel.jsx,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,assigned_asset_overhead_cost,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,assigned_asset_overhead_cost_annual,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,base_asset_cost_annual,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js | hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,build_asset_recovery_overlay,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,default_recovery_hours,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,excluded_asset_finance_interest_total,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,lib\reconciliation\reconciliationRules.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,general_overheads,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,has_productive_asset_recovery_base,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationOutputContract.js | hooks\useAssets.js | hooks\useBusinessSummary.js | hooks\useCostSummary.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js | lib\calculations\recoverySummaryCalculations.js | lib\selectors\recoverySummarySelectors.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,live_assets,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,no_active_assets_confirmed,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | lib\reconciliation\reconciliationRules.js | lib\selectors\assetSelectors.js | lib\storage\assetStorage.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,output_contract,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,productive_asset_cost,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js | hooks\useBusinessSummary.js | hooks\useCostAllocation.js | hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,productive_asset_recovery_cost_annual,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,recovery_hours_used,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,safe_array,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,safe_number,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,saved_assets,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | lib\selectors\assetSelectors.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,support_asset_cost,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationAssetOverlay.js | hooks\useBusinessSummary.js | hooks\useCostAllocation.js | hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,support_asset_count,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | hooks\useBusinessSummary.js | hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,total_allocated_asset_overhead_cost_annual,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,total_asset_interest_annual,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js | lib\reconciliation\reconciliationRules.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,total_asset_recovery_cost_annual,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,total_general_overheads_before_asset_assignment,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,assets,total_unassigned_asset_related_overhead_cost_annual,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useAssets.js | hooks\useCostSummary.js | hooks\useGeneralOverheads.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-modelling,active_scenario,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js | lib\selectors\businessModellingSelectors.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-modelling,baseline,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-modelling,baseline_snapshot,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js | lib\storage\businessModellingStorage.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-modelling,blocked,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessModellingSelectors.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-modelling,business_modelling_state,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-modelling,current_margin_per_productive_hour,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-modelling,has_baseline,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-modelling,modelling_ready,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,app\business-modelling\page.jsx | hooks\useBusinessModelling.js | lib\selectors\businessModellingSelectors.js,,implemented_contract_not_documented_in_brief | readiness_field
P1,implemented_not_briefed,business-modelling,output_contract,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-modelling,recovery_gap_per_hour,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,app\business-modelling\page.jsx | components\business-modelling\BusinessModellingBaselineCard.jsx | hooks\useBusinessModelling.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessModellingSelectors.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-modelling,summaryBlocked,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-modelling,summaryWarnings,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-modelling,summary_status,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,,implemented_contract_not_documented_in_brief | status_field
P1,implemented_not_briefed,business-modelling,total_available_hours_before_productivity,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-modelling,total_revenue,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-modelling,weighted_productivity_percent,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-setup,business_setup_output_contract,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useRevenueCogs.js | hooks\useRevenueReality.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-setup,business_setup_state,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSetup.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-setup,output_contract,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSetup.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,business_recovery_hours,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,business_summary,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js | hooks\useRevenueReality.js | lib\recovery\recoveryRiskWarningSystem.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,business_summary_output_contract,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js | hooks\useQuoteEngine.js | hooks\useRevenueReality.js | lib\calculations\quoteEngineCalculations.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,business_summary_outputs,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useRecoverySummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,business_summary_usable,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,business_summary_warnings,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,app\business-summary\page.jsx | components\business-summary\BusinessSummaryStatusStrip.jsx | hooks\useBusinessModelling.js | hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | lib\calculations\businessModellingCalculations.js | lib\selectors\businessSummarySelectors.js | lib\selectors\quoteEngineSelectors.js,,implemented_contract_not_documented_in_brief | warnings_field
P1,implemented_not_briefed,business-summary,business_type,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,calculations,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,cost_burden_breakdown,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,is_product_based,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,app\business-summary\page.jsx | components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | hooks\useBusinessSummary.js | lib\calculations\businessSummaryCalculations.js | lib\selectors\businessSummarySelectors.js,,implemented_contract_not_documented_in_brief | readiness_field
P1,implemented_not_briefed,business-summary,margin_pool,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,components\recovery-summary\main-card\RecoveryOutcomeDetail.jsx | components\recovery-summary\main-card\recoverySummaryWarningHelpers.js | components\recovery-summary\recoverySummaryWarningDetails.js | hooks\useBusinessModelling.js | hooks\useBusinessSummary.js | hooks\useRevenueReality.js | lib\calculations\recoverySummaryCalculations.js | lib\recovery\recoveryRiskWarningSystem.js | lib\selectors\businessSummarySelectors.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,net_position,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,components\recovery-summary\recoverySummaryWarningDetails.js | hooks\useBusinessModelling.js | lib\calculations\recoveryOutcomeCalculations.js | lib\calculations\recoverySummaryCalculations.js | lib\selectors\businessSummarySelectors.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,operating_recovery_hours,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,output_contract,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,people,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,components\business-summary\BusinessSummaryCard.jsx | components\business-summary\BusinessSummaryHierarchyBuilder.js | components\business-summary\BusinessSummaryMacroPositionCard.jsx | hooks\useBusinessSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,product_based,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,ready,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,recovery_hours_used,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,total_available_hours_before_productivity,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,total_recovery_hours,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,total_revenue,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,units_sold_annual,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,business-summary,weighted_productivity_percent,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-allocation,base_calculation_inputs,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostAllocation.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-allocation,build_cost_allocation_output_contract,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\cost-allocation\useCostAllocationOutputContract.js | hooks\useCostAllocation.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-allocation,cost_allocation,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,app\recovery-outcome\page.jsx | components\rate-builder\RateBuilderLineCalculator.jsx | hooks\useRecoveryOutcome.js | lib\calculations\recoveryOutcomeCalculations.js | lib\recovery\recoveryRiskWarningSystem.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-allocation,cost_allocation_contract,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,app\recovery-outcome\page.jsx,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-allocation,fallback_recovery_summary,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostAllocation.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-allocation,output_contract,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-allocation,recovery_hours_used,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostAllocation.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-allocation,recovery_outputs,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,lib\calculations\cost-allocation\costAllocationInputBuilder.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-allocation,recovery_summary,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostAllocation.js | lib\calculations\cost-allocation\costAllocationInputBuilder.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-summary,category_totals,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-summary,cost_summary,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | hooks\useRevenueSummary.js | lib\audit\buildLiveAuditSnapshotExport.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-summary,cost_summary_output_contract,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js | hooks\useQuoteEngine.js | lib\calculations\quoteEngineCalculations.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-summary,cost_summary_outputs,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useRevenueSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-summary,cost_summary_ready,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js | lib\selectors\businessSummarySelectors.js,,implemented_contract_not_documented_in_brief | readiness_field
P1,implemented_not_briefed,cost-summary,employer_contribution_totals,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-summary,entitlement_totals,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-summary,finance_cost_annual,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-summary,legacy_display,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-summary,output_contract,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js | lib\selectors\costSummarySelectors.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-summary,required_recovery_rate,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessModelling.js | hooks\useBusinessSummary.js | lib\calculations\quoteEngineCalculations.js | lib\recovery\recoveryRiskWarningSystem.js | lib\selectors\quoteEngineSelectors.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-summary,running_cost_annual,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-summary,total_available_hours_before_productivity,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,lib\selectors\costSummarySelectors.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-summary,total_business_cost_annual,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-summary,total_people_cost_annual,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useRevenueReality.js | lib\audit\buildLiveAuditSnapshotExport.js | lib\calculations\quoteEngineCalculations.js | lib\calculations\recoverySummaryCalculations.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-summary,total_recovery_hours,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,lib\selectors\costSummarySelectors.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,cost-summary,weighted_productivity_percent,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useCostSummary.js | lib\selectors\costSummarySelectors.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,general-overheads,actions,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useGeneralOverheads.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,general-overheads,allocation_outputs,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useGeneralOverheads.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,general-overheads,build_general_overhead_allocation_outputs,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useGeneralOverheads.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,general-overheads,current_overhead_state,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,hooks\useGeneralOverheads.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,general-overheads,employee_overheads_benchmark_total,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,lib\reconciliation\reconciliationRules.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,general-overheads,employee_overheads_check,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,lib\reconciliation\reconciliationRules.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,general-overheads,employee_overheads_lines,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,lib\reconciliation\reconciliationRules.js,,implemented_contract_not_documented_in_brief
P1,implemented_not_briefed,general-overheads,general_overheads,add_to_v5_module_brief,Implemented output contract exists in code but is not documented in v5.0 brief.,app\cost-summary\page.jsx | components\model-readiness\ModelReadinessAuditPanel.jsx | hooks\useBusinessSummary.js | hooks\useCostSummary.js | hooks\useQuoteEngine.js | hooks\useRecoverySummary.js,,implemented_contract_not_documented_in_brief
